project, pr_id, user, pr_title, URL
hexojs/hexo,3028,xeres,feat: Improved date formatting.,https://github.com/hexojs/hexo/pull/3028
hexojs/hexo,2998,segayuu,Add eslint-plugin-node,https://github.com/hexojs/hexo/pull/2998
hexojs/hexo,2982,richardo2016,robust for url compuation of 'view raw',https://github.com/hexojs/hexo/pull/2982
hexojs/hexo,2955,ChrisXJH,Fixed #2954,https://github.com/hexojs/hexo/pull/2955
hexojs/hexo,2953,ChrisXJH,Fixed hexo-disqus-proxy plugin compatibility problem,https://github.com/hexojs/hexo/pull/2953
hexojs/hexo,2678,jd-carroll,Actually allow plugins to be stored as devDependencies,https://github.com/hexojs/hexo/pull/2678
hexojs/hexo,2670,tcr,When promisifying, store does not preserve disableNunjucks property,https://github.com/hexojs/hexo/pull/2670
hexojs/hexo,2641,JLHwung,chore(package-lock): add package lock,https://github.com/hexojs/hexo/pull/2641
hexojs/hexo,2633,bhaskarmelkani,test: testing appveyor build ,https://github.com/hexojs/hexo/pull/2633
hexojs/hexo,2592,NoahDragon,Update .travis.yml,https://github.com/hexojs/hexo/pull/2592
hexojs/hexo,2587,ivan-nginx,Lazy load image support for Next theme.,https://github.com/hexojs/hexo/pull/2587
hexojs/hexo,2580,popomore,Fix match attribute in pre tag when render hexo tag,https://github.com/hexojs/hexo/pull/2580
hexojs/hexo,2551,Alex1990,Fix the #2134,https://github.com/hexojs/hexo/pull/2551
hexojs/hexo,2521,devpaul,fixes Hexo multi-config,https://github.com/hexojs/hexo/pull/2521
hexojs/hexo,2504,changyuheng,Fix post asset folder issue when link ends with .html,https://github.com/hexojs/hexo/pull/2504
hexojs/hexo,2478,be5invis,Give option to disable Nunjucks when processing posts.,https://github.com/hexojs/hexo/pull/2478
hexojs/hexo,2437,unnamed42,One possible fix for #2198,https://github.com/hexojs/hexo/pull/2437
hexojs/hexo,2407,ghaseminya,add snapshot,https://github.com/hexojs/hexo/pull/2407
hexojs/hexo,2388,ghaseminya,Hexo with Jalaali Calendar,https://github.com/hexojs/hexo/pull/2388
hexojs/hexo,2319,seaoak,Allow backtick code block in "blockquote" tag plugin (#2318),https://github.com/hexojs/hexo/pull/2319
hexojs/hexo,2310,sunzhigang,Merge pull request #1 from tommy351/master,https://github.com/hexojs/hexo/pull/2310
hexojs/hexo,2206,jerrybendy,修改 jsfiddle 的 test case,https://github.com/hexojs/hexo/pull/2206
hexojs/hexo,2202,pirtleshell,added inject tag,https://github.com/hexojs/hexo/pull/2202
hexojs/hexo,2146,tuck182,Return null from hexo.generate,https://github.com/hexojs/hexo/pull/2146
hexojs/hexo,2142,xuanmingkai,Merge pull request #2 from hexojs/master,https://github.com/hexojs/hexo/pull/2142
hexojs/hexo,2056,meghprkh,Remove duplicate roots in permalink of post,https://github.com/hexojs/hexo/pull/2056
hexojs/hexo,2022,aredridel,Add support for npm scoped packages as plugins,https://github.com/hexojs/hexo/pull/2022
hexojs/hexo,1949,muyunz,fix this.relative_url is not a function,https://github.com/hexojs/hexo/pull/1949
hexojs/hexo,1937,caolinjian,fix permalink bug,https://github.com/hexojs/hexo/pull/1937
hexojs/hexo,1896,huangcheng,Added gitlab page support,https://github.com/hexojs/hexo/pull/1896
hexojs/hexo,1827,raphaklaus,keywords meta seo: Added lean option to tag model,https://github.com/hexojs/hexo/pull/1827
hexojs/hexo,1766,greg-js,add mark option to code blocks,https://github.com/hexojs/hexo/pull/1766
hexojs/hexo,1764,greg-js,fix underscore typo for post render tests,https://github.com/hexojs/hexo/pull/1764
hexojs/hexo,1726,greg-js,fixed eslint and jscs linting issues,https://github.com/hexojs/hexo/pull/1726
hexojs/hexo,1656,tomByrer,add localhost help v2,https://github.com/hexojs/hexo/pull/1656
hexojs/hexo,1655,tomByrer,add localhost help,https://github.com/hexojs/hexo/pull/1655
hexojs/hexo,1624,ksky521,解决code中存在类似swig语法被错误解析的问题,https://github.com/hexojs/hexo/pull/1624
hexojs/hexo,1580,winterTTr,Fix issue cannot correctly analyze arguments in tag with space ,https://github.com/hexojs/hexo/pull/1580
